,Name,handedness,Height(Inch),Weight(Pound),Avg(%),HR,Hand
0,Adolfo Phillips,R,73,175,0.247,59,Right
1,Al Bumbry,L,68,170,0.281,54,Left
2,Al Cowens,R,73,197,0.27,108,Right
3,Al Downing,R,71,175,0.127,2,Right
4,Al Ferrara,R,73,200,0.259,51,Right
5,Al Gallagher,R,72,180,0.263,11,Right
6,Al Jones,R,76,210,0,0,Right
7,Al Lachowicz,R,75,198,0,0,Right
8,Al Luplow,L,70,175,0.235,33,Left
9,Al Oliver,L,72,195,0.303,219,Left
10,Al Weis,B,72,160,0.219,7,Both
11,Al Woods,L,75,190,0.271,35,Left
12,Alan Ashby,B,74,185,0.245,90,Both
13,Alan Bannister,R,71,170,0.27,19,Right
14,Alan Knicely,R,72,190,0.213,12,Right
15,Alan Wiggins,B,74,160,0.259,5,Both
16,Alan Wirth,R,76,190,0,0,Right
17,Albert Hall,B,71,155,0.251,5,Both
18,Albert Williams,R,76,190,0,0,Right
19,Alex Johnson,R,72,205,0.288,78,Right
20,Alex Sanchez,R,74,185,0,0,Right
21,Alex Trevino,R,70,165,0.249,23,Right
22,Alfredo Martinez,R,75,185,0,0,Right
23,Allan Ramirez,R,70,180,0,0,Right
24,Amos Otis,R,71,165,0.277,193,Right
25,Andre Robertson,R,70,155,0.251,5,Right
26,Andre Thornton,R,75,200,0.254,253,Right
27,Andres Mora,R,72,180,0.223,27,Right
28,Andres Thomas,R,73,170,0.234,42,Right
29,Andy Beene,R,75,205,0,0,Right
30,Andy Etchebarren,R,73,190,0.235,49,Right
31,Andy Kosco,R,75,205,0.236,73,Right
32,Andy Messersmith,R,73,200,0.17,5,Right
33,Andy Replogle,R,77,205,0,0,Right
34,Angel Mangual,R,70,178,0.245,22,Right
35,Angel Moreno,L,69,165,0,0,Left
36,Angel Salazar,R,72,180,0.212,2,Right
37,Art Howe,R,74,190,0.26,43,Right
38,Art Shamsky,L,73,168,0.253,68,Left
39,Aurelio Rodriguez,R,70,180,0.237,124,Right
40,Bake McBride,L,74,190,0.299,63,Left
41,Barbaro Garbey,R,70,170,0.267,11,Right
42,Barry Bonnell,R,75,190,0.272,56,Right
43,Barry Cort,R,77,210,0,0,Right
44,Barry Evans,R,73,180,0.251,2,Right
45,Barry Foote,R,75,205,0.23,57,Right
46,Barry Raziano,B,70,175,0,0,Both
47,Ben Callahan,R,79,230,0,0,Right
48,Ben Oglivie,L,74,160,0.273,235,Left
49,Benny Ayala,R,73,185,0.251,38,Right
50,Bernie Allen,L,72,175,0.239,73,Left
51,Bernie Carbo,L,71,173,0.264,96,Left
52,Bert Bradley,B,73,190,0,0,Both
53,Bert Campaneris,R,70,160,0.259,79,Right
54,Biff Pocoroba,B,70,175,0.257,21,Both
55,Bill Almon,R,75,180,0.254,36,Right
56,Bill Buckner,L,72,185,0.289,174,Left
57,Bill Castro,R,71,170,0,0,Right
58,Bill Fahey,L,72,200,0.241,7,Left
59,Bill Freehan,R,75,203,0.262,200,Right
60,Bill Fulton,R,75,195,0,0,Right
61,Bill Madlock,R,71,180,0.305,163,Right
62,Bill Melton,R,74,200,0.253,160,Right
63,Bill Mooneyham,R,72,175,0,0,Right
64,Bill Moran,R,76,210,0,0,Right
65,Bill Nahorodny,R,74,200,0.241,25,Right
66,Bill Paschall,R,72,175,0,0,Right
67,Bill Plummer,R,73,190,0.188,14,Right
68,Bill Robinson,R,74,189,0.258,166,Right
69,Bill Russell,R,72,175,0.263,46,Right
70,Bill Sample,R,69,175,0.272,46,Right
71,Bill Schroeder,R,74,200,0.24,61,Right
72,Bill Sharp,L,70,178,0.255,9,Left
73,Bill Stein,R,70,170,0.267,44,Right
74,Bill Sudakis,B,73,190,0.234,59,Both
75,Bill Voss,L,74,160,0.227,19,Left
76,Bill Wilkinson,R,70,160,0,0,Right
77,Billy Bryan,L,76,200,0.216,41,Left
78,Billy Conigliaro,R,72,180,0.256,40,Right
79,Billy Cowan,R,72,170,0.236,40,Right
80,Billy Grabarkewitz,R,70,165,0.236,28,Right
81,Billy North,B,71,185,0.261,20,Both
82,Billy Smith,B,74,185,0.23,17,Both
83,Bo Diaz,R,71,185,0.255,87,Right
84,Bob Babcock,R,77,210,0,0,Right
85,Bob Bailey,R,73,180,0.257,189,Right
86,Bob Bailor,R,71,170,0.264,9,Right
87,Bob Barton,R,72,175,0.226,9,Right
